ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,ride_length_minutes,day_of_week,hour_of_day,month,season,is_weekend,trip_distance_km,is_round_trip,is_extreme_duration
F51594BA90994B92,electric_bike,2026-04-01 01:22:00,2026-04-01 01:24:00,Wells St & Huron St,CHI00294,Wells St & Hubbard St,CHI00332,41.8947953,-87.6343743,41.889906,-87.634266,casual,2.0,4,1,4,Spring,False,0.543739255658327,False,False
1CCB910E9DD88FF3,classic_bike,2026-04-01 01:09:00,2026-04-01 01:25:00,Vincennes Ave & 107Th St,CHI01971,Vincennes Ave & 104Th St,CHI00861,41.69922,-87.65869,41.70492556,-87.65686811,casual,16.0,4,1,4,Spring,False,0.6522100643186988,False,False
CB621EAFF59D0A12,electric_bike,2026-04-01 01:03:00,2026-04-01 01:26:00,State St & Kinzie St,CHI00288,Millennium Park,CHI01742,41.88948512,-87.62724793,41.8810317,-87.62408432,casual,23.0,4,1,4,Spring,False,0.9757792651850536,False,False
AFACF0990FA26A32,electric_bike,2026-04-01 01:09:00,2026-04-01 01:26:00,State St & Kinzie St,CHI00288,Millennium Park,CHI01742,41.88937547,-87.62707651,41.8810317,-87.62408432,casual,17.0,4,1,4,Spring,False,0.9602817736075807,False,False
ED8920C04A06FBFF,electric_bike,2026-04-01 01:15:00,2026-04-01 01:28:00,,,Campbell Ave & Augusta Blvd,CHI02104,41.92,-87.69,41.899578,-87.689497,member,13.0,4,1,4,Spring,False,2.271204237460204,False,False
5AD0ADDCF0ABF880,electric_bike,2026-04-01 01:22:00,2026-04-01 01:31:00,Clinton St & Madison St,CHI00233,Michigan Ave & 11Th St,CHI02025,41.88166,-87.64115,41.86959,-87.623961,casual,9.0,4,1,4,Spring,False,1.9561951507387823,False,False
D3A67D36640CF567,classic_bike,2026-04-01 00:56:00,2026-04-01 01:31:00,Milwaukee Ave & Armitage Ave,CHI02131,Milwaukee Ave & Armitage Ave,CHI02131,41.91771,-87.68864,41.91771,-87.68864,casual,35.0,4,0,4,Spring,False,0.0,True,False
36147A436AA2F9AC,electric_bike,2026-04-01 01:29:00,2026-04-01 01:31:00,Sheridan Rd & Irving Park Rd,CHI00304,,,41.954245,-87.654406,41.95,-87.65,member,2.0,4,1,4,Spring,False,0.5962907270566512,False,False
1D7875525D0D377E,electric_bike,2026-04-01 01:31:00,2026-04-01 01:34:00,Halsted St & Wrightwood Ave,CHI00504,,,41.929143,-87.649077,41.93,-87.64,casual,3.0,4,1,4,Spring,False,0.7569203994644133,False,False
636010987135F9CC,electric_bike,2026-04-01 01:22:00,2026-04-01 01:34:00,Ashland Ave & Augusta Blvd,CHI02012,Damen Ave/Coulter St,CHI00624,41.89962,-87.66841,41.8492,-87.67564,member,12.0,4,1,4,Spring,False,5.6383161068348056,False,False
C698A5470E6B7C71,electric_bike,2026-04-01 01:26:00,2026-04-01 01:35:00,Clark St & Wrightwood Ave,CHI00287,Sedgwick St & Chicago Ave,CHI02145,41.929546,-87.643118,41.89677,-87.6386,member,9.0,4,1,4,Spring,False,3.6636491462408904,False,False
E7616B5488C40BB5,electric_bike,2026-04-01 01:33:00,2026-04-01 01:38:00,Lincoln Ave & Diversey Pkwy,CHI00285,Lincoln Ave & Fullerton Ave,CHI00494,41.932225,-87.658617,41.92416103,-87.64638036,casual,5.0,4,1,4,Spring,False,1.352322782432915,False,False
BEF6C127C391E755,electric_bike,2026-04-01 01:12:00,2026-04-01 01:41:00,Clark St & Ida B Wells Dr,CHI00216,Sheridan Rd & Irving Park Rd,CHI00304,41.87593267,-87.63058454,41.954245,-87.654406,casual,29.0,4,1,4,Spring,False,8.928229765330238,False,False
